"S. No.","Category","State/UT","Cases Reported","Persons Escaped - From lockup","Persons Escaped - Outside Lockup","Persons Escaped - Total","Escapes - Re-Arrested","Escapes - Absconding","Cases against Police for Negligence","Action taken for Negligence - Police Personnel Arrested","Action taken for Negligence - Police Personnel Chargesheeted","Action taken for Negligence - Police Personnel Convicted","Population"
"1","State","Andhra Pradesh","26","1","35","36","22","6","3","0","1","0","84673556"
"2","State","Arunachal Pradesh","2","2","0","2","2","0","0","0","0","0","1382611"
"3","State","Assam","38","25","12","37","6","28","0","0","0","0","31169272"
"4","State","Bihar","54","14","50","64","35","18","1","0","1","0","103804637"
"5","State","Chhattisgarh","31","5","27","32","24","15","0","0","0","0","25540196"
"6","State","Goa","4","0","5","5","4","1","0","0","0","0","1457723"
"7","State","Gujarat","38","8","36","44","38","6","11","20","20","0","60383628"
"8","State","Haryana","27","10","23","33","16","3","17","12","12","0","25353081"
"9","State","Himachal Pradesh","11","1","10","11","11","4","2","7","7","0","6864602"
"10","State","Jammu and Kashmir","17","9","9","18","13","4","3","7","6","0","12548926"
"11","State","Jharkhand","13","6","9","15","10","2","1","0","0","0","32966238"
"12","State","Karnataka","40","4","29","33","23","11","3","0","1","0","61130704"
"13","State","Kerala","37","7","30","37","34","2","0","0","0","0","33387677"
"14","State","Madhya Pradesh","312","26","80","106","94","22","5","1","1","2","72597565"
"15","State","Maharashtra","77","16","71","87","64","11","0","0","0","0","112372972"
"16","State","Manipur","0","0","0","0","0","0","0","0","0","0","2721756"
"17","State","Meghalaya","3","1","2","3","3","0","0","0","0","0","2964007"
"18","State","Mizoram","228","0","6","6","5","0","0","0","0","0","1091014"
"19","State","Nagaland","1","2","0","2","1","1","1","1","0","0","1980602"
"20","State","Orissa","29","7","39","46","15","13","5","0","0","0","41947358"
"21","State","Punjab","53","18","40","58","32","19","23","37","4","1","27704236"
"22","State","Rajasthan","54","11","42","53","45","17","0","0","7","2","68621012"
"23","State","Sikkim","0","0","0","0","0","0","0","0","0","0","607688"
"24","State","Tamil Nadu","27","5","27","32","28","4","2","0","1","0","72138958"
"25","State","Telangana","29","1","28","29","21","8","0","0","0","0","NaN"
"26","State","Tripura","4","3","1","4","4","0","0","0","0","0","3671032"
"27","State","Uttar Pradesh","77","13","76","89","72","17","52","61","54","4","199281477"
"28","State","Uttaranchal","4","0","4","4","4","2","0","0","0","0","10116752"
"29","State","West Bengal","19","2","20","22","16","5","0","0","0","0","91347736"
"30","Union Territory","Andaman and Nicobar","0","0","0","0","0","0","0","0","0","0","379944"
"31","Union Territory","Chandigarh","4","3","4","7","4","1","1","3","0","0","1054686"
"32","Union Territory","Dadra and Nagar Haveli","0","0","0","0","0","0","0","0","0","0","342853"
"33","Union Territory","Daman and Diu","0","0","0","0","0","0","0","0","0","0","242911"
"34","Union Territory","Delhi","22","3","19","22","10","2","6","0","0","0","16753235"
"35","Union Territory","Lakshadweep","0","0","0","0","0","0","0","0","0","0","64429"
"36","Union Territory","Puducherry","0","0","0","0","0","0","0","0","0","0","1244464"
